                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 1.2835,                 1.1545,                 1.2513,                0.51149,                0.44204,                0.42908,                0.29865,                 1.6457,                 1.7319,                 1.5198,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.2633,                 1.1648,                 1.2383,                0.49702,                0.43549,                0.44442,                 0.3135,                 1.6197,                 1.6823,                 1.5198,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.2904,                  1.149,                 1.2502,                0.58648,                0.41287,                 0.4546,                0.32492,                 1.6956,                 1.8686,                 1.6533,               0.008911,               0.008911,               0.008911
                    112,                  1.281,                 1.1409,                  1.239,                0.63242,                0.40856,                 0.4626,                0.32656,                 1.6097,                 1.7071,                 1.5391,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.3028,                 1.1608,                  1.241,                0.58341,                0.41884,                0.44187,                0.31233,                 1.6075,                 1.6932,                 1.5079,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.2491,                 1.1187,                 1.2393,                0.65109,                0.41652,                0.46051,                0.31567,                  1.629,                  1.779,                 1.5254,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.2916,                 1.1207,                 1.2336,                0.58472,                0.43591,                0.46502,                0.32598,                 1.6417,                 1.6812,                 1.5238,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.2827,                 1.1374,                 1.2267,                0.58016,                0.42028,                0.45411,                0.32455,                 1.6214,                 1.6288,                 1.5219,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.2845,                 1.0883,                 1.2444,                0.52316,                0.44798,                0.45392,                0.31618,                 1.6994,                 1.7781,                 1.5991,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.2729,                 1.1322,                 1.2336,                0.68807,                0.39775,                0.45438,                0.31178,                 1.6384,                 1.6832,                 1.5437,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.2385,                 1.0979,                 1.2212,                0.63543,                0.43364,                0.46924,                0.34316,                 1.5402,                 1.6209,                 1.4995,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.2552,                 1.0959,                 1.2334,                0.56607,                0.43557,                0.45428,                0.32319,                 1.5896,                 1.7774,                 1.5055,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.2812,                 1.1351,                 1.2363,                0.68185,                0.40437,                0.47198,                0.33221,                 1.5629,                   1.58,                 1.4771,               0.008812,               0.008812,               0.008812
                    122,                 1.2585,                 1.0893,                 1.2258,                 0.6333,                0.44106,                0.48171,                0.32521,                 1.6123,                 1.5371,                 1.5394,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.2459,                 1.0633,                 1.2092,                0.58322,                 0.4557,                0.48352,                0.34325,                  1.607,                 1.6031,                 1.5216,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.2486,                 1.0893,                 1.2398,                0.59262,                0.45526,                 0.4747,                 0.3355,                 1.6207,                 1.6656,                 1.5258,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.2407,                  1.101,                 1.2149,                0.68976,                0.39224,                 0.4643,                0.32177,                 1.6001,                 1.6051,                 1.5542,              0.0087724,              0.0087724,              0.0087724
                    126,                  1.232,                 1.0624,                 1.2112,                0.66569,                0.38436,                0.45932,                0.31993,                 1.5925,                 1.7226,                  1.544,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.2382,                 1.0877,                 1.2135,                0.58916,                0.44756,                0.47144,                0.33113,                 1.6352,                 1.7637,                  1.579,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.2615,                 1.0773,                  1.224,                0.66744,                0.43284,                0.47827,                0.34585,                  1.648,                 1.6177,                 1.5888,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.2597,                 1.0972,                 1.2194,                0.64276,                0.42809,                0.48521,                0.35264,                 1.6242,                 1.7825,                 1.5429,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.2376,                 1.0542,                 1.2081,                0.65887,                0.42915,                0.47733,                 0.3345,                 1.6241,                 1.7612,                 1.5543,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.2255,                 1.0581,                 1.2112,                0.64317,                0.38585,                0.45165,                 0.3135,                 1.5949,                 1.8507,                 1.5441,               0.008713,               0.008713,               0.008713
                    132,                 1.2388,                 1.0799,                 1.2084,                0.60902,                0.42279,                0.46359,                0.31388,                 1.5359,                 1.6497,                 1.4826,              0.0087031,              0.0087031,              0.0087031
