                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.4823,                 2.1484,                 1.6259,                 0.2903,                0.32959,                0.23015,                0.12396,                   1.57,                 2.1132,                 1.7693,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4737,                 2.1347,                 1.6185,                0.30106,                0.32078,                0.23311,                0.12518,                 1.5807,                 2.1039,                 1.7871,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.4748,                 2.1237,                 1.6276,                0.29576,                0.32252,                0.23283,                0.12812,                 1.5838,                 2.1124,                 1.7718,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.4744,                 2.1221,                 1.6147,                0.29218,                0.31638,                0.23522,                 0.1281,                 1.5836,                 2.1103,                 1.7615,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.4635,                 2.1279,                  1.611,                0.27483,                0.31915,                0.22986,                0.13063,                 1.5304,                 2.1418,                 1.7416,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.4679,                 2.1203,                 1.6136,                0.27463,                 0.3219,                0.23911,                0.13303,                 1.5553,                 2.0926,                 1.7574,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.4599,                 2.0956,                 1.6138,                 0.2879,                0.34032,                0.24345,                 0.1372,                 1.5243,                  2.073,                 1.7444,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4532,                 2.0873,                  1.603,                0.31307,                0.31585,                0.25349,                0.14187,                 1.5307,                 2.0835,                 1.7336,              0.0095149,              0.0095149,              0.0095149
                     51,                 1.4535,                 2.0954,                 1.6084,                0.30791,                0.33844,                0.24942,                0.14029,                  1.512,                 2.0773,                 1.7203,               0.009505,               0.009505,               0.009505
                     52,                 1.4498,                 2.0773,                 1.6014,                0.32257,                0.33252,                0.27214,                0.15703,                 1.5347,                 2.0369,                 1.7327,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.4532,                 2.0857,                 1.6001,                0.35583,                0.32536,                 0.2646,                0.14712,                 1.5453,                 2.0492,                 1.7307,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4233,                  2.074,                 1.5937,                 0.3502,                0.32682,                 0.2636,                0.14868,                 1.5163,                  2.026,                 1.7362,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4384,                 2.0549,                 1.5911,                0.34617,                0.32167,                0.27336,                0.15873,                 1.5064,                  1.997,                 1.7196,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4385,                 2.0465,                 1.5958,                0.31902,                0.31182,                0.26528,                0.15649,                 1.5149,                 2.0618,                  1.722,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4303,                 2.0261,                 1.5893,                0.34336,                 0.3279,                0.27123,                0.15639,                 1.5048,                 2.0235,                 1.7155,              0.0094456,              0.0094456,              0.0094456
                     58,                 1.4312,                 2.0502,                 1.5949,                0.34171,                0.33418,                 0.2769,                0.15786,                 1.5371,                 2.0147,                 1.7341,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4038,                 2.0199,                  1.575,                0.36118,                0.32803,                0.28476,                0.16586,                 1.4818,                 1.9913,                    1.7,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4283,                 2.0273,                 1.5897,                0.34749,                0.35012,                 0.2858,                0.16234,                 1.5033,                 1.9799,                 1.7196,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.4296,                 2.0332,                  1.579,                0.36514,                  0.321,                0.28544,                0.16516,                 1.4989,                 2.0101,                 1.7102,               0.009406,               0.009406,               0.009406
                     62,                 1.4237,                 1.9981,                 1.5789,                0.38964,                0.31596,                0.28508,                 0.1633,                 1.5034,                  1.981,                 1.7062,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.4035,                 2.0017,                 1.5761,                0.37421,                0.34092,                 0.2962,                0.17105,                 1.4985,                 1.9482,                 1.7045,              0.0093862,              0.0093862,              0.0093862
                     64,                  1.416,                 1.9933,                  1.578,                0.37602,                0.32529,                0.30237,                0.17609,                 1.4894,                 1.9224,                 1.6986,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4078,                 2.0106,                 1.5695,                0.35484,                0.34252,                0.30042,                0.17728,                 1.4784,                 1.9123,                 1.6974,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.3765,                 1.9723,                 1.5523,                0.37003,                0.34018,                0.29672,                0.17064,                 1.4896,                 1.9288,                 1.6919,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4023,                 1.9907,                 1.5676,                0.34498,                0.34662,                 0.2935,                0.16811,                 1.4924,                 1.9589,                 1.7077,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.4079,                 1.9841,                 1.5667,                0.38702,                0.33807,                0.30353,                0.17727,                 1.4643,                 1.9421,                 1.6682,              0.0093367,              0.0093367,              0.0093367
                     69,                  1.401,                 1.9828,                  1.559,                0.37583,                0.34408,                 0.3037,                0.18042,                  1.472,                 1.9223,                 1.6886,              0.0093268,              0.0093268,              0.0093268
                     70,                  1.392,                  1.959,                 1.5534,                0.40279,                0.33771,                 0.3096,                0.18048,                 1.4643,                  1.891,                   1.67,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4017,                 1.9637,                 1.5577,                 0.4221,                0.34267,                0.31789,                0.18745,                 1.4491,                 1.8766,                 1.6698,               0.009307,               0.009307,               0.009307
                     72,                 1.4075,                  1.972,                 1.5558,                0.42778,                0.33926,                0.32264,                0.19361,                 1.4686,                 1.8874,                 1.6736,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.3769,                 1.9655,                 1.5405,                0.41471,                0.35522,                 0.3289,                0.19427,                  1.467,                 1.8563,                 1.6652,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.4071,                 1.9491,                 1.5571,                0.42024,                 0.3546,                0.32396,                0.19212,                 1.4636,                  1.856,                 1.6567,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.3872,                 1.9628,                 1.5456,                0.39986,                0.34402,                0.32618,                0.19404,                 1.4505,                 1.8465,                 1.6648,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.3802,                 1.9601,                 1.5463,                0.43063,                0.35406,                0.33598,                0.19463,                 1.4534,                 1.8351,                 1.6654,              0.0092575,              0.0092575,              0.0092575
                     77,                  1.369,                 1.9253,                 1.5409,                0.41865,                0.35856,                 0.3394,                0.20256,                 1.4312,                 1.8363,                 1.6534,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.3731,                 1.9146,                 1.5364,                0.43966,                0.35251,                0.33758,                0.20099,                 1.4516,                 1.8357,                 1.6551,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.3793,                 1.9098,                 1.5442,                0.42971,                0.34533,                0.33486,                0.19964,                 1.4501,                 1.8257,                 1.6612,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.3672,                 1.9087,                 1.5365,                0.44162,                0.35388,                0.35074,                0.20957,                 1.4386,                 1.8053,                  1.654,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.3802,                  1.911,                  1.545,                 0.4227,                0.36214,                0.33659,                0.20032,                 1.4335,                 1.8341,                 1.6515,               0.009208,               0.009208,               0.009208
                     82,                 1.3832,                 1.9181,                 1.5394,                0.42778,                0.36686,                0.34404,                0.20602,                 1.4192,                 1.8126,                 1.6517,              0.0091981,              0.0091981,              0.0091981
                     83,                  1.356,                 1.9024,                   1.53,                0.42421,                0.36241,                0.34592,                0.21182,                 1.4342,                 1.8033,                 1.6436,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.3502,                  1.905,                 1.5247,                0.43793,                0.36319,                0.35106,                0.21306,                 1.4323,                 1.8036,                 1.6431,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.3806,                 1.9074,                 1.5369,                0.45222,                 0.3629,                0.34923,                0.20735,                 1.4469,                 1.8038,                 1.6604,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.3586,                 1.9047,                 1.5271,                0.45898,                0.35391,                0.35921,                0.21852,                 1.4203,                 1.7981,                  1.633,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.3509,                 1.8689,                 1.5219,                0.48021,                 0.3516,                0.35407,                0.21288,                 1.4385,                 1.7797,                 1.6503,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.3744,                 1.8985,                  1.533,                0.44754,                0.36259,                0.35559,                0.21285,                 1.4388,                 1.7739,                 1.6494,              0.0091387,              0.0091387,              0.0091387
                     89,                  1.351,                 1.8906,                 1.5214,                0.44803,                0.36244,                0.35904,                0.21597,                  1.439,                 1.7725,                 1.6388,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.3503,                  1.879,                   1.52,                0.49172,                0.36152,                0.36894,                0.22505,                 1.4154,                 1.7577,                 1.6337,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.3476,                 1.8677,                 1.5118,                0.42516,                0.38294,                0.36489,                0.21914,                 1.4213,                 1.7629,                 1.6436,               0.009109,               0.009109,               0.009109
                     92,                 1.3524,                 1.8763,                 1.5195,                0.45895,                0.37154,                0.37215,                0.22322,                 1.4203,                 1.7569,                 1.6369,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.3492,                 1.8642,                 1.5266,                0.45216,                0.38166,                0.37095,                0.22568,                 1.4079,                 1.7443,                 1.6248,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.3456,                 1.8611,                 1.5058,                0.46713,                0.36946,                0.37499,                0.22909,                 1.4184,                 1.7364,                 1.6256,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.3482,                  1.847,                 1.5134,                0.44745,                0.39344,                0.37638,                0.22959,                 1.4061,                 1.7409,                 1.6286,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.3569,                 1.8512,                 1.5201,                0.44323,                0.38348,                0.37717,                0.23022,                 1.4078,                 1.7275,                 1.6257,              0.0090595,              0.0090595,              0.0090595
                     97,                 1.3567,                 1.8568,                 1.5156,                0.47409,                0.37727,                0.38427,                  0.236,                 1.3896,                 1.7097,                 1.6115,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.3407,                 1.8476,                 1.5083,                0.47919,                0.38315,                0.38635,                 0.2375,                 1.4085,                 1.7079,                 1.6213,              0.0090397,              0.0090397,              0.0090397
                     99,                  1.341,                 1.8388,                 1.5053,                0.48925,                0.36886,                0.38143,                 0.2343,                 1.4059,                 1.7187,                 1.6228,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.3462,                 1.8412,                 1.5129,                0.44885,                0.37852,                0.38037,                0.23154,                 1.4115,                  1.719,                   1.62,              0.0090199,              0.0090199,              0.0090199
                    101,                 1.3375,                 1.8284,                 1.5033,                0.47621,                0.38616,                0.38427,                0.23302,                 1.4101,                 1.7066,                 1.6196,                0.00901,                0.00901,                0.00901
                    102,                 1.3293,                  1.814,                 1.5058,                 0.4894,                0.38529,                0.39145,                0.23765,                 1.4171,                 1.6991,                 1.6282,              0.0090001,              0.0090001,              0.0090001
                    103,                  1.306,                 1.8241,                 1.4829,                0.50994,                0.37896,                0.39915,                0.24626,                 1.4005,                 1.6855,                 1.6156,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.3285,                  1.822,                 1.4995,                0.48011,                0.38278,                0.39799,                0.24534,                  1.394,                 1.6854,                  1.606,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.3437,                 1.8174,                 1.4939,                0.46984,                 0.3719,                 0.3941,                0.24011,                 1.3933,                 1.7031,                 1.5947,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.3331,                 1.8132,                 1.4905,                0.47998,                0.37787,                0.39805,                0.24548,                 1.3881,                 1.6808,                 1.5944,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.3438,                 1.8229,                 1.5012,                0.49006,                0.38787,                0.40098,                0.24612,                  1.382,                  1.673,                 1.5896,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.3369,                  1.798,                 1.4942,                0.48235,                0.38913,                0.40465,                0.24916,                 1.3933,                 1.6683,                 1.5993,              0.0089407,              0.0089407,              0.0089407
