                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.86611,                0.93925,                  1.473,                0.79288,                0.76049,                0.83197,                 0.5093,                 1.3116,                0.97959,                 1.6064,              0.0090595,              0.0090595,              0.0090595
                     97,                0.85602,                0.91364,                 1.4663,                0.79747,                0.76808,                0.83159,                0.50748,                  1.326,                0.96843,                 1.6127,              0.0090496,              0.0090496,              0.0090496
                     98,                0.85305,                0.91421,                 1.4642,                0.79679,                0.76969,                0.83028,                0.50674,                 1.3224,                0.97083,                 1.6114,              0.0090397,              0.0090397,              0.0090397
                     99,                0.84629,                0.90472,                 1.4563,                 0.7997,                0.75906,                0.82851,                0.50684,                 1.3195,                0.97107,                 1.6154,              0.0090298,              0.0090298,              0.0090298
                    100,                0.85272,                0.90964,                 1.4654,                 0.8022,                0.76049,                0.83314,                0.50856,                 1.3133,                0.96175,                 1.6104,              0.0090199,              0.0090199,              0.0090199
                    101,                0.85248,                0.92213,                 1.4674,                0.80889,                0.75246,                0.83179,                 0.5107,                 1.3065,                0.95886,                 1.6066,                0.00901,                0.00901,                0.00901
                    102,                0.84789,                0.91392,                 1.4571,                0.81819,                0.76667,                 0.8347,                0.50882,                  1.314,                 0.9581,                 1.6157,              0.0090001,              0.0090001,              0.0090001
                    103,                0.85995,                0.90668,                 1.4666,                0.82191,                0.76914,                0.84751,                0.50982,                 1.3125,                0.94558,                 1.6154,              0.0089902,              0.0089902,              0.0089902
                    104,                0.85061,                0.92316,                 1.4645,                0.80881,                0.77296,                0.84281,                0.51607,                 1.3038,                0.94655,                 1.6088,              0.0089803,              0.0089803,              0.0089803
                    105,                0.83765,                0.90367,                 1.4563,                0.80026,                0.78395,                0.84667,                0.51594,                 1.3109,                0.93786,                 1.6175,              0.0089704,              0.0089704,              0.0089704
                    106,                0.83972,                0.89874,                 1.4568,                0.83166,                0.75632,                0.84673,                0.51602,                 1.3122,                0.93673,                 1.6179,              0.0089605,              0.0089605,              0.0089605
                    107,                0.84939,                0.89933,                 1.4656,                0.81401,                0.76724,                0.84439,                 0.5172,                 1.3127,                0.93316,                 1.6182,              0.0089506,              0.0089506,              0.0089506
                    108,                0.83635,                0.89246,                 1.4559,                0.82911,                0.76173,                0.84527,                0.51869,                 1.3218,                0.93375,                 1.6249,              0.0089407,              0.0089407,              0.0089407
                    109,                0.84375,                0.89205,                 1.4595,                0.83988,                0.76411,                0.84671,                0.51703,                 1.3262,                0.92816,                 1.6345,              0.0089308,              0.0089308,              0.0089308
                    110,                0.83764,                0.90108,                 1.4515,                0.82724,                0.76259,                0.84497,                 0.5154,                 1.3248,                0.92773,                 1.6297,              0.0089209,              0.0089209,              0.0089209
                    111,                0.83512,                0.89389,                 1.4554,                0.84191,                0.74952,                0.84704,                0.51649,                 1.3259,                0.92805,                 1.6297,               0.008911,               0.008911,               0.008911
                    112,                0.82344,                0.88077,                 1.4497,                0.83031,                0.76722,                0.84661,                0.52002,                 1.3195,                0.92656,                 1.6251,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.8313,                0.88888,                 1.4506,                0.85109,                0.75802,                 0.8489,                0.52327,                 1.3092,                0.92958,                 1.6151,              0.0088912,              0.0088912,              0.0088912
                    114,                0.84462,                 0.9097,                 1.4612,                 0.8345,                0.76173,                0.84667,                0.52395,                 1.2975,                0.92961,                 1.6077,              0.0088813,              0.0088813,              0.0088813
                    115,                0.83577,                0.89276,                 1.4488,                0.83977,                0.75802,                0.84841,                0.52501,                 1.3005,                0.92612,                 1.6124,              0.0088714,              0.0088714,              0.0088714
                    116,                0.83288,                0.88738,                 1.4498,                0.82559,                0.75926,                 0.8426,                0.52058,                 1.3046,                0.93109,                 1.6193,              0.0088615,              0.0088615,              0.0088615
                    117,                0.83234,                0.88058,                 1.4509,                0.83442,                0.75902,                0.84318,                0.52011,                 1.3056,                0.93239,                 1.6241,              0.0088516,              0.0088516,              0.0088516
                    118,                 0.8346,                0.89197,                 1.4489,                 0.8289,                0.75358,                0.83904,                0.51485,                 1.3063,                0.93287,                 1.6225,              0.0088417,              0.0088417,              0.0088417
                    119,                  0.826,                0.88082,                 1.4477,                0.81838,                0.76543,                0.83925,                0.51787,                 1.3041,                0.93126,                 1.6263,              0.0088318,              0.0088318,              0.0088318
                    120,                0.83048,                0.88533,                 1.4466,                0.83458,                0.75992,                0.84405,                0.51775,                  1.299,                0.92997,                   1.62,              0.0088219,              0.0088219,              0.0088219
                    121,                0.82777,                0.90575,                 1.4401,                0.83632,                 0.7642,                0.84324,                0.51543,                 1.3011,                0.93404,                 1.6213,               0.008812,               0.008812,               0.008812
                    122,                 0.8238,                0.87652,                 1.4428,                0.82977,                 0.7642,                0.83812,                0.51607,                 1.3025,                0.93785,                 1.6245,              0.0088021,              0.0088021,              0.0088021
                    123,                0.82691,                0.86504,                 1.4466,                0.81167,                0.76667,                0.83551,                0.51676,                 1.3058,                0.93875,                 1.6282,              0.0087922,              0.0087922,              0.0087922
                    124,                  0.828,                 0.8698,                 1.4433,                0.81414,                0.77531,                0.83879,                0.51486,                 1.3054,                0.93507,                 1.6261,              0.0087823,              0.0087823,              0.0087823
                    125,                0.82471,                0.87502,                 1.4397,                 0.8127,                0.78148,                0.84026,                0.51446,                 1.3092,                0.93471,                 1.6263,              0.0087724,              0.0087724,              0.0087724
                    126,                0.81889,                0.87235,                 1.4408,                0.81052,                0.78159,                0.83976,                0.51436,                  1.311,                0.93067,                 1.6258,              0.0087625,              0.0087625,              0.0087625
                    127,                0.82384,                0.86834,                 1.4412,                0.81003,                0.78889,                0.83899,                0.51577,                 1.3136,                 0.9275,                 1.6264,              0.0087526,              0.0087526,              0.0087526
                    128,                0.83335,                0.88186,                 1.4497,                0.81247,                0.78628,                0.84154,                0.51616,                 1.3157,                0.92787,                 1.6265,              0.0087427,              0.0087427,              0.0087427
                    129,                0.82688,                0.87604,                  1.444,                 0.8177,                0.78633,                0.84132,                 0.5146,                 1.3185,                 0.9283,                 1.6279,              0.0087328,              0.0087328,              0.0087328
                    130,                0.82963,                0.86724,                 1.4441,                0.82075,                0.78519,                0.84146,                0.51538,                 1.3211,                0.92801,                 1.6294,              0.0087229,              0.0087229,              0.0087229
                    131,                0.81595,                0.85309,                 1.4353,                0.81616,                0.79259,                0.84175,                0.51658,                 1.3173,                0.92758,                 1.6248,               0.008713,               0.008713,               0.008713
                    132,                0.82776,                0.86613,                 1.4422,                0.80712,                0.78519,                0.83962,                0.51579,                 1.3149,                0.92694,                 1.6223,              0.0087031,              0.0087031,              0.0087031
                    133,                0.82165,                0.86056,                 1.4371,                0.81026,                0.78555,                0.84017,                0.51618,                  1.315,                0.92218,                 1.6231,              0.0086932,              0.0086932,              0.0086932
                    134,                0.81868,                0.85167,                 1.4432,                0.81898,                0.77641,                0.84327,                0.51597,                 1.3129,                0.92153,                 1.6194,              0.0086833,              0.0086833,              0.0086833
                    135,                0.82416,                0.86694,                 1.4373,                0.79448,                0.79506,                0.84218,                0.51587,                  1.313,                 0.9232,                 1.6204,              0.0086734,              0.0086734,              0.0086734
                    136,                0.82568,                0.86501,                 1.4411,                0.79677,                0.79259,                0.84375,                0.51498,                 1.3138,                0.92461,                 1.6208,              0.0086635,              0.0086635,              0.0086635
                    137,                0.82038,                0.85672,                 1.4395,                0.79944,                0.79012,                0.84375,                0.51456,                 1.3135,                0.92223,                 1.6207,              0.0086536,              0.0086536,              0.0086536
                    138,                0.81781,                0.85285,                 1.4356,                0.82193,                0.76667,                0.84307,                0.51525,                 1.3094,                0.91859,                 1.6181,              0.0086437,              0.0086437,              0.0086437
                    139,                0.81811,                0.85056,                 1.4326,                0.81092,                0.77835,                0.84174,                 0.5163,                 1.3047,                0.91455,                 1.6137,              0.0086338,              0.0086338,              0.0086338
                    140,                0.81448,                 0.8516,                 1.4357,                0.81203,                0.77654,                0.84183,                0.51698,                 1.3029,                0.91188,                 1.6116,              0.0086239,              0.0086239,              0.0086239
